"news","package_name","version","source","date_added_to_list","cran_check","warnings","errors","vignette_error","comments"
"new","RSP","0.1","cran","2023-03-07",TRUE,NA,NA,NA,"Another one with the same name is on CRAN"
"new","actel","1.2.1","cran","2023-03-07",TRUE,NA,NA,NA,""
"new","eyelinker","0.2.1","cran","2022-09-13",TRUE,NA,NA,NA,""
"new","gazepath","1.3","cran","2022-09-13",TRUE,NA,NA,NA,""
"new","migflow","0.1.0","github","2023-03-07",TRUE,FALSE,FALSE,FALSE,""
"new","mousetrap","3.2.1","cran","2022-09-13",TRUE,NA,NA,NA,""
"new","track2KBA","1.0.5","cran","2023-03-07",TRUE,NA,NA,NA,""
"new","BaBA","1.3","github","2023-03-07",FALSE,FALSE,TRUE,FALSE,""
"new","aniMotum","1.1.4","github","2023-05-19",FALSE,TRUE,FALSE,FALSE,"Superseeds foiegras"
"new","mousetrack",NA,"cran-archived","2022-09-13",FALSE,NA,TRUE,NA,""
"new","nestR","1.1.0","github","2023-03-07",FALSE,FALSE,TRUE,FALSE,""
"new","palmr","2.2.1","github","2023-03-07",FALSE,FALSE,TRUE,TRUE,""
"new","smoove","0.1.2","github","2023-03-07",FALSE,TRUE,FALSE,FALSE,""
"new","vmsbase","2.2.1","github","2023-03-07",FALSE,FALSE,TRUE,FALSE,""
"new","pathroutr",NA,"github","2023-03-07",NA,NA,NA,NA,""
"skipped","saccades",NA,"github","2022-09-13",NA,NA,NA,NA,"On CRAN: Archived on 2022-04-10 at the request of the maintainer. "
"mod","FLightR","0.5.2","cran","2020-01-01",TRUE,NA,NA,NA,""
"mod","Rhabit","0.2.0","github","2020-07-01",FALSE,FALSE,TRUE,TRUE,""
"mod","animalTrack",NA,"cran-archived","2020-01-01",FALSE,NA,TRUE,NA,""
"mod","argosTrack","1.2.2.1","github","2020-01-01",FALSE,TRUE,FALSE,FALSE,""
"mod","foieGras",NA,"cran-archived","2020-01-01",FALSE,NA,TRUE,NA,""
