"package_name","version","source","date_added_to_list","skip","recent_publish_track","recent_commit","cran_check","warnings","errors","vignette_error","imports","suggests","comments","mention","core"
"EMbC","2.0.3","cran","2020-01-01",FALSE,"2019-12-16",NA,TRUE,NA,NA,NA,"Rcpp, sp, methods, RColorBrewer, mnormt, maptools, Rcpp, RcppArmadillo","move, rgl, knitr","",1,FALSE
"FLightR","0.5.2","cran","2020-01-01",FALSE,"2022-02-15",NA,TRUE,NA,NA,NA,"bit, ggsn, ggmap, ggplot2, CircStats, circular, fields, maptools, methods, mgcv, nlme, parallel, RcppArmadillo, rgdal, rgeos, sp, truncnorm","covr, testthat, knitr, rmarkdown","",0,FALSE
"GGIR","2.9-0","cran","2020-01-01",FALSE,"2023-03-24",NA,TRUE,NA,NA,NA,"stats, utils, R, data.table, foreach, doParallel, signal, zoo, tuneR, unisensR, ineq, methods","testthat, covr, knitr, rmarkdown, actilifecounts, ActCR, GGIRread, read.gt3x","",0,FALSE
"PhysicalActivity","0.2-4","cran","2020-01-01",FALSE,"2021-01-22",NA,TRUE,NA,NA,NA,"","RSQLite, DBI, data.table, e1071, keras, randomForest, reticulate, rms","",1,FALSE
"RSP","0.1","cran","2023-03-07",FALSE,"2023-01-17",NA,TRUE,NA,NA,NA,"DT, GPArotation, MVN, Metrics, ShinyItemAnalysis, catR, foreign, gt, hornpa, igraph, lavaan, mirt, plyr, polycor, psych, rJava, semPlot, shinyBS, shinycustomloader, shinyjs, shinythemes, xlsx, shiny, utils, rstudioapi","knitr, rmarkdown, testthat","Another one with the same name is on CRAN",0,FALSE
"SDLfilter","2.3.2","cran","2020-01-01",FALSE,"2023-04-17",NA,TRUE,NA,NA,NA,"ggplot2, geosphere, data.table, gridExtra, ggsn, ggmap, maps, pracma, lubridate, dplyr, emmeans, utils, sf, stars, plotKML","","",0,FALSE
"SGAT","0.1.3","github","2020-01-01",FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,"stats, utils, MASS, raster, sp, coda","geosphere, maptools, rgdal","",0,FALSE
"SiMRiv","1.0.5","cran","2020-01-01",FALSE,"2023-01-20",NA,TRUE,NA,NA,NA,"raster, methods, stats, sp, mco, parallel, rgdal","adehabitatLT, moveHMM, rgeos, testthat","",0,FALSE
"SimilarityMeasures","1.4","cran","2020-01-01",FALSE,"2015-02-06",NA,TRUE,NA,NA,NA,"","","",0,FALSE
"TrackReconstruction","1.3","cran","2020-01-01",FALSE,"2021-12-10",NA,TRUE,NA,NA,NA,"fields, RColorBrewer","lattice, onion, plotrix, rgl, scatterplot3d","",0,FALSE
"TrajDataMining","0.1.6","cran","2020-01-01",FALSE,"2018-05-10",NA,TRUE,NA,NA,NA,"sp, trajectories, xts, spacetime, RPostgreSQL, geosphere, methods, rgdal","testthat, knitr, rmarkdown, covr, ggplot2, rgeos, magrittr","",0,FALSE
"acc","1.3.3","cran","2020-01-01",FALSE,"2016-12-16",NA,TRUE,NA,NA,NA,"mhsmm, zoo, PhysicalActivity, nleqslv, plyr, methods, DBI, RSQLite, circlize, ggplot2, R.utils, iterators, Rcpp, Rcpp, RcppArmadillo","","",0,FALSE
"accelerometry","3.1.2","cran","2020-01-01",FALSE,"2018-08-24",NA,TRUE,NA,NA,NA,"dvmisc, Rcpp","knitr, rmarkdown, pander","",0,FALSE
"actel","1.2.1","cran","2023-03-07",FALSE,"2021-01-05",NA,TRUE,NA,NA,NA,"circular, data.table, DiagrammeR, DiagrammeRsvg, fasttime, ggplot2, svglite, graphics, knitr, readr, reshape2, rmarkdown, rsvg, scales, stats, stringr, stringi, grDevices, utils","raster, gdistance, sp, tools, rgdal, testthat, RGtk2, gWidgets2RGtk2, gWidgets2","",0,FALSE
"adehabitatHR","0.4.21","cran","2020-01-01",FALSE,"2023-04-06",NA,TRUE,NA,NA,NA,"sp, methods, ade4, adehabitatMA, adehabitatLT, graphics, grDevices, stats","tkrplot, MASS, sf, deldir","",3,TRUE
"adehabitatLT","0.3.27","cran","2020-01-01",FALSE,"2023-04-06",NA,TRUE,NA,NA,NA,"sp, methods, ade4, adehabitatMA, CircStats, stats, graphics, grDevices, utils","tkrplot, MASS","",10,TRUE
"amt","0.2.1.0","cran","2020-01-01",FALSE,"2023-03-28",NA,TRUE,NA,NA,NA,"utils","adehabitatLT, broom, ggplot2, ggraph, geosphere, knitr, leaflet, move, moveHMM, rmarkdown, sessioninfo, suncalc, sp, tidygraph, tinytest","",1,FALSE
"anipaths","0.10.2","cran","2020-01-01",FALSE,"2023-01-16",NA,TRUE,NA,NA,NA,"animation, crawl, RColorBrewer, scales, sp, sf, raster, mgcv, grDevices, ggmap, dplyr, ellipse, ggplot2, igraph, lubridate, magrittr, mvtnorm, stringr, tidyr, tidyselect","knitr, rmarkdown, testthat","",0,FALSE
"argosfilter","0.70","cran","2020-01-01",FALSE,"2022-09-13",NA,TRUE,NA,NA,NA,"","","",0,FALSE
"bayesmove","0.2.1","cran","2021-02-07",FALSE,"2021-10-22",NA,TRUE,NA,NA,NA,"Rcpp, RcppArmadillo","covr, testthat, spelling, knitr, rmarkdown, ggforce, RcppArmadillo, xts, htmltools, shinythemes, DT, datamods, viridis","",0,FALSE
"bcpa","1.3.2","cran","2020-01-01",FALSE,"2022-05-30",NA,TRUE,NA,NA,NA,"plyr, stats, Rcpp, Rcpp","knitr, lubridate, magrittr, circular, digest, rmarkdown","",1,FALSE
"bsam","1.1.3","cran","2020-01-01",FALSE,"2020-09-01",NA,TRUE,NA,NA,NA,"","","",0,FALSE
"caribou","1.1-1","cran","2020-01-01",FALSE,"2022-04-13",NA,TRUE,NA,NA,NA,"","","",0,FALSE
"crawl","2.3.0","cran","2020-01-01",FALSE,"2022-10-09",NA,TRUE,NA,NA,NA,"methods, dplyr, sf, sp, tibble, magrittr, lubridate, purrr, rlang, Rcpp, RcppArmadillo","","",2,FALSE
